#Flux file (2D) for RDK2
# measurments by Jeff Nico
# extracted and reformatted by Matthew Bales
#Transposed Field (1=true,0=false)
0
# [Start(cm)] [Spacing (cm)] [# of Entries]
-1.49 0.06 150
-1.49 0.06 150
# [x(cm)][y(cm)][Potential (V)]
-1.490000e+00 8.900000e-01 0.000000e+00
-1.490000e+00 9.100000e-01 0.000000e+00
-1.490000e+00 9.300000e-01 1.721897e-04
-1.490000e+00 9.500000e-01 7.973604e-05
-1.490000e+00 9.700000e-01 0.000000e+00
-1.490000e+00 9.900000e-01 0.000000e+00
-1.490000e+00 1.010000e+00 0.000000e+00
-1.490000e+00 1.030000e+00 0.000000e+00
-1.490000e+00 1.050000e+00 0.000000e+00
-1.490000e+00 1.070000e+00 0.000000e+00
-1.490000e+00 1.090000e+00 0.000000e+00
-1.490000e+00 1.110000e+00 0.000000e+00
-1.490000e+00 1.130000e+00 0.000000e+00
-1.490000e+00 1.150000e+00 0.000000e+00
-1.490000e+00 1.170000e+00 8.886680e-04
-1.490000e+00 1.190000e+00 0.000000e+00
-1.490000e+00 1.210000e+00 0.000000e+00
-1.490000e+00 1.230000e+00 7.583622e-03
-1.490000e+00 1.250000e+00 2.632791e-04
-1.490000e+00 1.270000e+00 0.000000e+00
-1.490000e+00 1.290000e+00 0.000000e+00
-1.490000e+00 1.310000e+00 0.000000e+00
-1.490000e+00 1.330000e+00 0.000000e+00
-1.490000e+00 1.350000e+00 0.000000e+00
-1.490000e+00 1.370000e+00 4.279898e-05
-1.490000e+00 1.390000e+00 0.000000e+00
-1.490000e+00 1.410000e+00 0.000000e+00
-1.490000e+00 1.430000e+00 0.000000e+00
-1.490000e+00 1.450000e+00 0.000000e+00
-1.490000e+00 1.470000e+00 0.000000e+00
-1.490000e+00 1.490000e+00 0.000000e+00
-1.470000e+00 -1.490000e+00 0.000000e+00
-1.470000e+00 -1.470000e+00 0.000000e+00
-1.470000e+00 -1.450000e+00 0.000000e+00
-1.470000e+00 -1.430000e+00 0.000000e+00
-1.470000e+00 -1.410000e+00 0.000000e+00
-1.470000e+00 -1.390000e+00 0.000000e+00
-1.470000e+00 -1.370000e+00 0.000000e+00
-1.470000e+00 -1.350000e+00 0.000000e+00
-1.470000e+00 -1.330000e+00 0.000000e+00
-1.470000e+00 -1.310000e+00 0.000000e+00
-1.470000e+00 -1.290000e+00 0.000000e+00
-1.470000e+00 -1.270000e+00 0.000000e+00
-1.470000e+00 -1.250000e+00 0.000000e+00
-1.470000e+00 -1.230000e+00 0.000000e+00
-1.470000e+00 -1.210000e+00 0.000000e+00
-1.470000e+00 -1.190000e+00 0.000000e+00
-1.470000e+00 -1.170000e+00 2.061407e-03
-1.470000e+00 -1.150000e+00 0.000000e+00
-1.470000e+00 -1.130000e+00 0.000000e+00
-1.470000e+00 -1.110000e+00 0.000000e+00
-1.470000e+00 -1.090000e+00 0.000000e+00
-1.470000e+00 -1.070000e+00 7.783265e-04
-1.470000e+00 -1.050000e+00 1.765198e-03
-1.470000e+00 -1.030000e+00 0.000000e+00
-1.470000e+00 -1.010000e+00 0.000000e+00
-1.470000e+00 -9.900000e-01 1.312056e-05
-1.470000e+00 -9.700000e-01 0.000000e+00
-1.470000e+00 -9.500000e-01 0.000000e+00
-1.470000e+00 -9.300000e-01 0.000000e+00
-1.470000e+00 -9.100000e-01 0.000000e+00
-1.470000e+00 -8.900000e-01 0.000000e+00
-1.470000e+00 -8.700000e-01 0.000000e+00
-1.470000e+00 -8.500000e-01 0.000000e+00
-1.470000e+00 -8.300000e-01 1.040434e-04
-1.470000e+00 -8.100000e-01 0.000000e+00
-1.470000e+00 -7.900000e-01 1.464671e-03
-1.470000e+00 -7.700000e-01 4.698239e-04
-1.470000e+00 -7.500000e-01 0.000000e+00
-1.470000e+00 -7.300000e-01 0.000000e+00
-1.470000e+00 -7.100000e-01 4.513960e-04
-1.470000e+00 -6.900000e-01 0.000000e+00
-1.470000e+00 -6.700000e-01 1.394068e-04
-1.470000e+00 -6.500000e-01 0.000000e+00
-1.470000e+00 -6.300000e-01 2.813057e-03
-1.470000e+00 -6.100000e-01 1.647545e-03
-1.470000e+00 -5.900000e-01 1.711055e-04
-1.470000e+00 -5.700000e-01 0.000000e+00
-1.470000e+00 -5.500000e-01 1.257493e-03
-1.470000e+00 -5.300000e-01 2.019284e-03
-1.470000e+00 -5.100000e-01 0.000000e+00
-1.470000e+00 -4.900000e-01 3.075745e-04
-1.470000e+00 -4.700000e-01 1.327513e-03
-1.470000e+00 -4.500000e-01 4.415579e-05
-1.470000e+00 -4.300000e-01 0.000000e+00
-1.470000e+00 -4.100000e-01 2.264935e-04
-1.470000e+00 -3.900000e-01 4.267766e-04
-1.470000e+00 -3.700000e-01 1.242892e-03
-1.470000e+00 -3.500000e-01 8.638085e-04
-1.470000e+00 -3.300000e-01 9.826485e-04
-1.470000e+00 -3.100000e-01 4.287802e-03
-1.470000e+00 -2.900000e-01 7.465381e-04
-1.470000e+00 -2.700000e-01 3.041111e-03
-1.470000e+00 -2.500000e-01 1.463224e-03
-1.470000e+00 -2.300000e-01 2.323191e-04
-1.470000e+00 -2.100000e-01 4.694485e-04
-1.470000e+00 -1.900000e-01 2.180646e-03
-1.470000e+00 -1.700000e-01 3.335926e-04
-1.470000e+00 -1.500000e-01 3.666262e-03
-1.470000e+00 -1.300000e-01 2.040030e-03
-1.470000e+00 -1.100000e-01 1.890516e-04
-1.470000e+00 -9.000000e-02 6.822129e-04
-1.470000e+00 -7.000000e-02 0.000000e+00
